comment_id,sentiment,sentiment_confidence,index,respect,respect_confidence,insult,insult_confidence,humiliate,humiliate_confidence,status,status_confidence,dehumanize,dehumanize_confidence,violence,violence_confidence,genocide,genocide_confidence,attack_defend,attack_defend_confidence,hatespeech,hatespeech_confidence
616,,0.0,160,1.0,0.9987810229771212,4.0,0.7721491904009621,3.0,0.9003545641961513,1.0,0.7623203448891155,2.0,0.939800546916263,1.0,0.7468954282021824,1.0,0.734002149851611,3.0,0.4534766050491112,1.0,0.998286684170104
809,2.0,0.672544057499911,13,1.0,0.9999514841711508,4.0,0.7432363684248333,3.0,0.8971743593124839,1.0,0.9992228829793136,2.0,0.9899041340647196,2.0,0.997450905585435,2.0,0.9771737866863838,3.0,0.9361227321400104,1.0,0.998515547691017
1253,4.0,0.5944370066531257,8,2.0,0.9620986110597304,2.0,0.7904921018899894,2.0,0.4564401450196847,1.0,0.4891857973541737,1.0,0.9998477929052436,1.0,0.9999970197765222,1.0,0.99996245048456,3.0,0.7621727316620391,0.0,0.9980036616134228
1550,2.0,0.6328989986284972,108,1.0,0.9864153141713612,4.0,0.7699713205110055,3.0,0.5794361663658509,1.0,0.5514837198170075,2.0,0.7867413157756064,1.0,0.99406849048156,1.0,0.9999542257282245,3.0,0.9585952962452589,1.0,0.9805272820448648
1645,,0.0,143,1.0,0.912691522390394,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,1.0,0.819785537266097
1787,,0.0,184,1.0,0.9978430405032472,4.0,0.8126239373758095,3.0,0.661443879197627,,0.0,2.0,0.9970103742679556,2.0,0.9519156282079644,1.0,0.9963924369888588,4.0,0.6116059040944919,1.0,0.9994457457670984
2009,,0.0,34,1.0,0.989352960928452,4.0,0.5711979293202067,3.0,0.550238364236906,,0.0,2.0,0.9971049443399967,2.0,0.99641125485958,2.0,0.993974495834119,3.0,0.6581937388970449,1.0,0.977548885117164
2088,1.0,0.6038433754602249,136,1.0,0.9989539609317808,4.0,0.9722613791393506,3.0,0.957598846378534,1.0,0.8271257056444559,2.0,0.9922141440156924,2.0,0.9997086182094592,2.0,0.9959874869823452,4.0,0.6819299392176216,1.0,0.999484328261934
2173,,0.0,57,1.0,0.9978684419916016,4.0,0.8332840437261542,3.0,0.8805336433085846,1.0,0.5499215403710053,2.0,0.997113240722268,2.0,0.999755799818856,2.0,0.9968715143088236,4.0,0.7118330692873989,1.0,0.9993906159745048
2317,,0.0,186,1.0,0.9997555615167206,,0.0,,0.0,,0.0,2.0,0.8963895649803563,1.0,0.6824394669078336,1.0,0.9996538168738532,,0.0,1.0,0.9882491927887082
2747,5.0,0.75369135940875,76,1.0,0.6429807095730059,2.0,0.6999411132890723,2.0,0.5269777318872297,1.0,0.9939263280981276,1.0,0.9999772315431976,1.0,0.9999865295310484,1.0,0.9999644768956826,3.0,0.9670246349817953,0.0,0.99984672034556
2952,4.0,0.9874587233247396,82,2.0,0.9366161796977314,2.0,0.7305491306354157,2.0,0.9066634430849316,2.0,0.7281986417884778,1.0,0.9775402289454098,1.0,0.999985099061694,1.0,0.9999519609670996,2.0,0.7841987677719954,0.0,0.9997785581673028
4145,,0.0,105,1.0,0.9917446900593186,4.0,0.6602839457119907,3.0,0.4907031530728026,1.0,0.4872865427210129,2.0,0.995041168265451,2.0,0.9932499885559382,1.0,0.9700744262503912,4.0,0.7353569560905175,1.0,0.9927848431800624
4458,2.0,0.7299636098811716,54,1.0,0.5097660777990286,3.0,0.859922188225289,2.0,0.9652365150565184,1.0,0.5268723922020155,1.0,0.9652658391386124,1.0,0.999985099061694,1.0,0.9999556561097608,3.0,0.94839619784508,0.0,0.7055958310209728
4587,1.0,0.4397009164013284,121,1.0,0.9966956258094316,4.0,0.8965623976811233,3.0,0.845345686538954,1.0,0.551434349798184,2.0,0.9967351805119186,2.0,0.7559154054490744,1.0,0.9893931019062656,4.0,0.7376807098674215,1.0,0.9988469084571844
4762,2.0,0.713959044510755,98,1.0,0.6371244420429845,2.0,0.8427872597120585,2.0,0.471433790809516,1.0,0.5735400474022248,1.0,0.9999675761227764,1.0,0.9999943971954578,1.0,0.999984860650334,3.0,0.8756337326421741,0.0,0.9986828057236994
5212,2.0,0.9275457665401076,101,1.0,0.9990321238938884,3.0,0.6936979161628477,2.0,0.8999269666298897,1.0,0.998542172230194,1.0,0.9999806884670998,1.0,0.9999957084838798,1.0,0.99998879445232,3.0,0.9665889558901168,0.0,0.9251047057301726
6032,,0.0,159,1.0,0.6277784406747526,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
6214,2.0,0.8093355211154493,27,1.0,0.962223643225939,3.0,0.8217833993654774,2.0,0.5671171428609876,1.0,0.9418189403445318,2.0,0.8730285978995951,1.0,0.999955179315688,1.0,0.9983345634656998,3.0,0.9589389388514468,1.0,0.6146967588433735
6616,4.0,0.98052499177406,73,2.0,0.9992725185148388,1.0,0.5496191820420077,1.0,0.5430859417303373,2.0,0.9091101980942212,1.0,0.9999879600079056,1.0,0.999993681947167,1.0,0.9999743706604208,2.0,0.9931121742086588,0.0,0.999999284744746
6827,1.0,0.8364339662014684,150,1.0,0.9998209796948008,4.0,0.9864153141713612,3.0,0.910840821030695,1.0,0.9225302264027456,2.0,0.9885339318086876,2.0,0.9998442177156228,2.0,0.9996459546374592,4.0,0.9387120703690174,1.0,0.999723391802697
6830,2.0,0.7336723713035485,188,1.0,0.9990099941296212,4.0,0.663062543032084,2.0,0.6381676677983452,1.0,0.8418370287747381,2.0,0.796862265736701,2.0,0.5353649991404015,1.0,0.9971620741406314,3.0,0.8050325217411374,1.0,0.9761610774945978
7479,2.0,0.5592411226317333,133,1.0,0.99634805769377,,0.0,3.0,0.503247748933422,1.0,0.7747628242540302,2.0,0.9542103237592428,1.0,0.9998184772165886,1.0,0.9996177227654084,3.0,0.9234340654669452,1.0,0.9922988849844157
8041,1.0,0.56653295946059,65,1.0,0.9999494578154604,4.0,0.8073679695465278,3.0,0.7745219434497304,1.0,0.984726691604718,2.0,0.6107186611847216,1.0,0.9906560553950772,1.0,0.9999620928810976,3.0,0.8357623852663236,1.0,0.9889399537923536
8369,1.0,0.592318390957072,15,1.0,0.9995077888470972,4.0,0.9503930330042332,3.0,0.9146250423848824,1.0,0.9420427421837836,2.0,0.9994845664412406,2.0,0.9995650753168648,2.0,0.8653401153444407,4.0,0.4945679395814433,1.0,0.9996783576412148
8503,,0.0,80,2.0,0.5418083933561721,3.0,0.6828073635106383,2.0,0.9431406636782734,1.0,0.7133955585376636,1.0,0.9242992258900358,1.0,0.9999833109769694,1.0,0.9999113161575116,3.0,0.8098224348221659,1.0,0.6133544991397565
8603,,0.0,92,,0.0,,0.0,,0.0,,0.0,2.0,0.9731059167921232,2.0,0.9055048685965114,2.0,0.8040579638229931,,0.0,1.0,0.7745977502622268
8717,2.0,0.7543672219424392,196,1.0,0.9991268397342,3.0,0.949408607216244,2.0,0.7976216006888589,1.0,0.9305399185661392,2.0,0.7462736310560114,1.0,0.9999669801176596,1.0,0.9999765163240096,3.0,0.9906936113682048,1.0,0.81412397129352
8937,4.0,0.4666185003665515,23,1.0,0.684820035816884,3.0,0.7742875525185865,2.0,0.9631307712725672,1.0,0.5606439472910437,1.0,0.999498737921242,1.0,0.9999952316511552,1.0,0.9999872447692212,3.0,0.978864455592922,0.0,0.947224412184804
8994,4.0,0.9985397950103332,119,2.0,0.9962910209235,2.0,0.4970417847480137,1.0,0.7295749367432959,2.0,0.9055315515434956,1.0,0.9999803308534772,1.0,0.999992370663676,1.0,0.9999818805158572,2.0,0.9899915184272928,0.0,0.999992251457122
9989,1.0,0.9959377047057184,155,1.0,0.9999405181089656,4.0,0.98243595620224,2.0,0.6938159736565902,1.0,0.9290351782351314,1.0,0.6809746308760383,1.0,0.9976996767424092,1.0,0.9999823573353942,4.0,0.9868170425235936,0.0,0.944141975933963
10031,3.0,0.9261656178792592,89,2.0,0.7722363411535331,2.0,0.53806799175858,1.0,0.7710188485945718,1.0,0.5426823999160936,1.0,0.99998700635644,1.0,0.999990940175962,1.0,0.9999792580151958,2.0,0.8774883606690008,0.0,0.9999821189265068
10043,,0.0,192,1.0,0.6749702642608193,,0.0,,0.0,,0.0,2.0,0.5367870816994831,1.0,0.9975263427756318,1.0,0.981117318158134,,0.0,0.0,0.5554879030713579
10476,3.0,0.561667473550341,75,2.0,0.9742048376141622,2.0,0.5382114981189074,2.0,0.5405725780880711,2.0,0.7581375640621829,1.0,0.9999843838268748,1.0,0.9999924898716084,1.0,0.9999876023871354,2.0,0.9458733077600912,0.0,0.9999996423722806
11064,1.0,0.9053128420381504,17,1.0,0.9991432621965988,4.0,0.5977413297817452,2.0,0.5492364836613518,1.0,0.960830770148744,2.0,0.9607222711454828,2.0,0.9975170900235336,2.0,0.9943730956604742,4.0,0.684244513070536,1.0,0.999570911546744
11248,4.0,0.9894661566939454,46,2.0,0.9977936654267308,2.0,0.8053725338875828,2.0,0.6293373385336953,2.0,0.9161116439619588,1.0,0.9999640000901282,1.0,0.9999959469010092,1.0,0.9999765163240096,2.0,0.9311026234719164,0.0,0.9999004701515762
11466,2.0,0.4116820864274066,59,1.0,0.999219669277754,4.0,0.8806378956161517,3.0,0.8674275266211766,1.0,0.7626581818607903,2.0,0.9961861942522432,2.0,0.8944823055769442,1.0,0.7013464750043593,3.0,0.9722951888743848,1.0,0.9973797492716324
12121,4.0,0.5972483681824868,11,2.0,0.994733913152906,1.0,0.4901498847749388,1.0,0.7904780729274505,2.0,0.890955306155425,1.0,0.999989867312656,1.0,0.9999884368312512,1.0,0.9999647152949072,2.0,0.9857757986901036,0.0,0.9999961853172864
12278,,0.0,176,1.0,0.9990321238938884,4.0,0.93370444820906,3.0,0.7649462110656028,1.0,0.9284220561474538,2.0,0.9925779769692772,2.0,0.9957329501296638,2.0,0.997330183487274,3.0,0.4826027050842093,1.0,0.9989965503971898
12852,2.0,0.902996586330153,147,1.0,0.7698790105312932,2.0,0.7013618588638401,2.0,0.8197503810729281,1.0,0.7635780554204815,1.0,0.9993652561299954,1.0,0.999984860650334,1.0,0.999973536238956,3.0,0.8148124275953694,0.0,0.9823623244257644
13076,2.0,0.8238761382929102,1,1.0,0.8060090055203588,3.0,0.6900178096441023,2.0,0.9353490742275392,1.0,0.6736920784664685,1.0,0.852889385031416,1.0,0.9999916554191084,1.0,0.999904403303289,3.0,0.9558507131643572,1.0,0.6689860622396012
13252,1.0,0.9755556580977806,151,1.0,0.9999855758827658,3.0,0.7344250929279655,2.0,0.7710647603097468,1.0,0.9997006359029236,1.0,0.9971463092333782,1.0,0.9999723442092404,1.0,0.9993435880066354,3.0,0.5768348872846708,1.0,0.9996819316122284
13674,1.0,0.9572851044124648,69,1.0,0.9999561329113366,4.0,0.5316416053662527,3.0,0.6718018803176226,1.0,0.9994625359100552,2.0,0.8318345401556484,1.0,0.9997121924341352,1.0,0.9908167104623196,3.0,0.9354578649838848,1.0,0.999425741192825
13734,,0.0,197,1.0,0.9988302578423816,,0.0,3.0,0.4774696348319068,1.0,0.7238348860216256,2.0,0.9694402331153338,2.0,0.6661768448294909,1.0,0.6245267101192472,3.0,0.6386378164048565,1.0,0.9044319350720604
13756,2.0,0.4225271245526887,41,1.0,0.9995880632802387,3.0,0.5690207926451296,2.0,0.6827022880942676,1.0,0.6746926847184332,2.0,0.4663137178980899,1.0,0.9998850954534756,1.0,0.999879970645444,3.0,0.5737406496887196,1.0,0.955309603728712
14213,,0.0,193,1.0,0.952520607670504,,0.0,,0.0,,0.0,2.0,0.8907671349213807,2.0,0.6341386808780682,1.0,0.937356747984529,,0.0,1.0,0.6251120447443066
15026,1.0,0.9996808594195826,77,1.0,0.9999241886324,4.0,0.9955890105334771,3.0,0.9765324403430932,1.0,0.9995725790347864,2.0,0.6500137358004047,1.0,0.9527599109501266,1.0,0.9999860527077028,4.0,0.9962537496142512,1.0,0.9999106010236644
15118,,0.0,96,1.0,0.9256915940231664,,0.0,,0.0,,0.0,2.0,0.953892944463086,2.0,0.9830216075083128,2.0,0.7825267607824424,,0.0,1.0,0.8045330706876824
15312,1.0,0.8513029310614466,47,1.0,0.9998063224052742,4.0,0.974658961267863,3.0,0.9642173496441344,1.0,0.9892572875995174,2.0,0.9960177610546695,2.0,0.918420045352068,1.0,0.999906310274972,4.0,0.5042456208002701,1.0,0.9995815121390064
15802,4.0,0.4444587073598179,7,1.0,0.9986761475385486,4.0,0.8261823606297704,3.0,0.8627725351002538,1.0,0.7687024150912213,2.0,0.98601715532971,2.0,0.8523035850723715,2.0,0.8216986401996257,3.0,0.95606172936374,1.0,0.992172717834183
16178,1.0,0.9939581252347576,125,1.0,0.9999260957072954,4.0,0.9808643590092514,3.0,0.8994425751862375,1.0,0.9986277600996736,2.0,0.5756964195633043,1.0,0.980701869755393,1.0,0.999084834167,4.0,0.903696021851648,1.0,0.9989657380486928
16493,2.0,0.4833569751740311,66,2.0,0.9559484199750576,1.0,0.59947079508009,1.0,0.6397965799883674,2.0,0.5122799128583364,1.0,0.9999892712787918,1.0,0.9999938011552556,1.0,0.999985933501902,2.0,0.9660753411671136,0.0,0.9999988079084972
17157,2.0,0.8653394964051798,93,1.0,0.9999768739326302,3.0,0.6568929552747222,2.0,0.7628835503102207,1.0,0.9572894729744504,1.0,0.7194995531421718,1.0,0.9999839070045524,1.0,0.9999901057270286,3.0,0.950403045562541,1.0,0.6922859281624724
17197,3.0,0.916920632297319,149,2.0,0.9946184469279602,2.0,0.7983926757415437,2.0,0.5334987343228011,2.0,0.7622639586233668,1.0,0.9999839070045524,1.0,0.9999977350285648,1.0,0.999992370663676,2.0,0.9846360717991272,0.0,0.9999979734461776
17732,2.0,0.8533748179008437,74,1.0,0.8812685012532755,2.0,0.7251512376695199,2.0,0.8973323272408851,1.0,0.8948692383949919,1.0,0.9043342382137104,1.0,0.9999213280559782,1.0,0.9993102543250284,3.0,0.924775092976499,0.0,0.6984807582523033
17959,,0.0,175,1.0,0.9956691292640704,,0.0,,0.0,,0.0,2.0,0.9671149417494947,2.0,0.8922774342124858,1.0,0.9069290884855108,,0.0,1.0,0.7869295802756383
18090,,0.0,84,1.0,0.9957101390070404,4.0,0.6987098797411321,,0.0,,0.0,2.0,0.9694365313899485,2.0,0.9745297646972134,1.0,0.9950104818523562,4.0,0.5196041534426693,1.0,0.994135169646212
18346,2.0,0.4537387570028568,137,1.0,0.9629836123226844,3.0,0.6020642600135987,2.0,0.7073385418587995,1.0,0.7512808982547425,2.0,0.948630648296416,1.0,0.9708084208255718,1.0,0.71224417217289,3.0,0.942204313979398,1.0,0.9809471732085951
18417,4.0,0.4474581445154894,167,1.0,0.9968962743544716,2.0,0.7231541794993297,2.0,0.8854617647798755,1.0,0.9946427406467744,1.0,0.9999897481054908,1.0,0.9999957084838798,1.0,0.9999890328655274,3.0,0.8953559699360005,0.0,0.99997484747092
18496,2.0,0.9742770249935924,88,2.0,0.9072699492971092,2.0,0.8082909040192451,1.0,0.5433234632377155,1.0,0.5538419489546431,1.0,0.99995970888311,1.0,0.9999921322487634,1.0,0.999977350747961,3.0,0.7219173318264172,0.0,0.9998075140643108
19040,3.0,0.5398440775094192,181,2.0,0.906713331380895,2.0,0.8517558823215654,2.0,0.8452916109259654,2.0,0.5411559572875277,1.0,0.9980399954614784,1.0,0.9999940395710212,1.0,0.9999557753064956,2.0,0.7315003829007152,0.0,0.999982953364228
19343,,0.0,43,1.0,0.9407683023730542,,0.0,,0.0,,0.0,2.0,0.660474121559936,2.0,0.7772159198123172,,0.0,,0.0,1.0,0.8512580893457102
19431,,0.0,142,1.0,0.996783029258548,4.0,0.9162746460957188,3.0,0.9038743106673358,1.0,0.9008858867694692,2.0,0.998517687136684,2.0,0.8920916290859192,1.0,0.9837582575451672,3.0,0.5416070112615273,1.0,0.9993578745845088
19671,1.0,0.947504828951888,20,1.0,0.9999531529488715,4.0,0.9916720008630658,3.0,0.9803812907195556,1.0,0.9807637840385997,2.0,0.9896275957566546,2.0,0.996037865895826,1.0,0.9958109645298214,4.0,0.9919460470553852,1.0,0.9999196593895716
19687,2.0,0.8614594530449963,180,1.0,0.7232074787531994,3.0,0.6115725855409473,2.0,0.8095766372056096,1.0,0.6841767739487449,1.0,0.9461798271044756,1.0,0.9999947548186582,1.0,0.999986171913518,3.0,0.98820821285272,0.0,0.7560455160451959
19705,,0.0,191,1.0,0.966237359734488,,0.0,,0.0,,0.0,2.0,0.7262154180267072,2.0,0.982699856504287,,0.0,,0.0,1.0,0.8634115503766348
19815,,0.0,24,1.0,0.9988450054027715,,0.0,,0.0,,0.0,2.0,0.9585140226893676,2.0,0.8374529566885305,1.0,0.9751029656073168,,0.0,1.0,0.9737382493173904
20004,,0.0,18,1.0,0.9887607925410448,4.0,0.5247526866959825,3.0,0.7979135498069643,1.0,0.6543180490553145,2.0,0.995841700207456,2.0,0.998901978022269,2.0,0.7910733269817087,4.0,0.422901709634486,1.0,0.98444414117872
20005,,0.0,60,1.0,0.8815177016062292,,0.0,,0.0,,0.0,2.0,0.7566477634160534,2.0,0.8053361117188318,,0.0,,0.0,1.0,0.8292452089923241
20007,1.0,0.99608493833039,26,1.0,0.9999413524737764,4.0,0.9458735262265812,3.0,0.9611070873995669,1.0,0.9978055341052188,2.0,0.9996884839934936,2.0,0.9974473477188514,2.0,0.9966352336899724,4.0,0.9034730369518368,1.0,0.9998783021353554
20008,,0.0,140,1.0,0.956041132809514,,0.0,,0.0,,0.0,,0.0,2.0,0.7497076635210312,,0.0,,0.0,1.0,0.5419441755913181
20009,,0.0,63,,0.0,,0.0,,0.0,,0.0,2.0,0.6221633676504,2.0,0.924385401505845,2.0,0.8687962971995764,,0.0,1.0,0.9966063426051492
20010,,0.0,97,1.0,0.8582315158529168,,0.0,,0.0,,0.0,2.0,0.8217154639904373,2.0,0.7398880055932372,,0.0,,0.0,1.0,0.9511955687851916
20012,,0.0,21,1.0,0.6409382679256279,,0.0,,0.0,,0.0,,0.0,2.0,0.7286239517362284,,0.0,,0.0,1.0,0.518088056055553
20013,1.0,0.6864127435196543,110,1.0,0.9998306322920668,4.0,0.9819099593724328,3.0,0.9906599165687584,1.0,0.9829688499014468,2.0,0.9995880632802387,2.0,0.999569124903551,2.0,0.6700827362017263,4.0,0.8955229586792958,1.0,0.999581035763337
20014,1.0,0.975375644137348,48,1.0,0.999881162450462,4.0,0.9803981311810372,3.0,0.9850007302400522,1.0,0.9435534324337864,2.0,0.998575098179138,1.0,0.8039721097136461,1.0,0.9982984458660704,4.0,0.8856606070471782,1.0,0.999806203248178
20015,1.0,0.5166440947478493,100,1.0,0.9999480274500656,4.0,0.5648573081002582,3.0,0.7688310376347868,1.0,0.955437124243665,2.0,0.9979727918249592,1.0,0.9083531797347568,1.0,0.7127007312984621,3.0,0.9641071968014224,1.0,0.9995578099393064
20016,,0.0,29,1.0,0.7282787700201071,,0.0,,0.0,,0.0,2.0,0.7307941727216378,2.0,0.9794088022407104,2.0,0.8916891951069253,,0.0,1.0,0.9849343463624533
20017,1.0,0.8790409820735524,145,1.0,0.9997959553545726,4.0,0.8543717453970975,3.0,0.929802567653536,1.0,0.995975425659421,2.0,0.999519579067641,2.0,0.9979198426440028,2.0,0.9996428573745326,3.0,0.7185047186345461,1.0,0.9998609021111264
20018,,0.0,45,1.0,0.9471630256251908,,0.0,,0.0,,0.0,2.0,0.9633846157156926,2.0,0.986197760161548,2.0,0.9096942254915078,,0.0,1.0,0.9781230237471228
20020,1.0,0.986473312485793,71,1.0,0.999917394786764,4.0,0.9157666152791092,3.0,0.8861444030051692,1.0,0.9706377874241788,2.0,0.9986600972268546,2.0,0.9930806663373604,2.0,0.9978977623205252,4.0,0.6090232268858432,1.0,0.9979380060181158
20021,1.0,0.9286864170092952,14,1.0,0.9997385232358396,4.0,0.9781940802760928,3.0,0.9837802941447416,1.0,0.7860741879483705,2.0,0.9995835370363236,2.0,0.99931656377502,2.0,0.9987946988009094,4.0,0.6503175003287087,1.0,0.9985504926605214
20024,2.0,0.8389647429266656,120,2.0,0.5866434408184318,3.0,0.6842454714987591,2.0,0.9476816673037756,1.0,0.576304307158426,2.0,0.5568691313997497,1.0,0.9999945164027224,1.0,0.932692048040998,3.0,0.991453059419812,0.0,0.8825538383358857
20025,1.0,0.752259795628347,164,1.0,0.9995661472980544,4.0,0.7113943235597033,3.0,0.6711009416789189,1.0,0.5246489488286958,2.0,0.992764986605982,2.0,0.917317004880832,2.0,0.7717947053790107,3.0,0.4818907702179695,1.0,0.9912239082274572
20026,,0.0,117,1.0,0.9978972871829286,4.0,0.7114017228180215,3.0,0.8410852180431153,1.0,0.6370513052815977,2.0,0.9993415641189168,2.0,0.9961100137388113,2.0,0.959295887773719,4.0,0.6175492744116102,1.0,0.9358400291806656
20028,,0.0,40,1.0,0.9998618555077444,4.0,0.5118963324635568,3.0,0.7495025378913757,1.0,0.5941321284682819,2.0,0.9736191308945872,2.0,0.9941127849053718,1.0,0.946108329348912,4.0,0.4922466331925632,1.0,0.9976148413160908
20029,1.0,0.7994021414142412,33,1.0,0.9998616171803296,4.0,0.9908765179117988,3.0,0.98971609867072,1.0,0.922181866518786,2.0,0.994934479738963,2.0,0.8932867099927725,1.0,0.9996403557494544,4.0,0.9775343040457848,1.0,0.9997770091546287
20033,,0.0,51,1.0,0.6989114771730466,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
20034,1.0,0.6758755131890316,53,1.0,0.9998109698049836,4.0,0.9844863109932784,3.0,0.9457437448789664,1.0,0.9457753094857048,2.0,0.9945559479356976,2.0,0.9998840228101262,2.0,0.9996584628664176,4.0,0.9515853108900648,1.0,0.999879970645444
20038,1.0,0.4850288996088101,123,1.0,0.9647798108581654,,0.0,,0.0,1.0,0.9368399248387972,2.0,0.997353305737114,1.0,0.9273026642387556,1.0,0.9064350863366446,,0.0,1.0,0.8761271236038924
20041,1.0,0.8202536809439688,187,1.0,0.9996907475396124,3.0,0.875164275522428,2.0,0.9477359450635,1.0,0.9998063224052742,1.0,0.9998249122210232,1.0,0.999995112442896,1.0,0.9998923655889208,3.0,0.8944435795141821,1.0,0.997709051053511
20043,1.0,0.5346066474139438,16,1.0,0.9972445805163408,4.0,0.9344051333536104,3.0,0.8068048996925992,1.0,0.7405523950329451,2.0,0.8690026821236319,1.0,0.9512162771055316,1.0,0.9948610869952648,4.0,0.6929490398185902,1.0,0.9997717663222598
20045,,0.0,132,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,1.0,0.8422377530016487
20048,2.0,0.4825028995969251,19,2.0,0.8993823050892532,3.0,0.6452925161507796,2.0,0.8564566015551336,2.0,0.8445842105780377,2.0,0.9101494381594312,1.0,0.9999084556470166,2.0,0.5744507575231947,3.0,0.9612934403721664,1.0,0.9931408634127764
20050,2.0,0.6426133579342186,173,1.0,0.8616437057276258,3.0,0.8194395012914188,2.0,0.896075591140854,2.0,0.5815747369052409,2.0,0.9881335972136168,1.0,0.8279602914511026,2.0,0.998505088709819,3.0,0.9880198904547032,1.0,0.9949472248082586
20052,2.0,0.9882417423505476,87,2.0,0.5426550355586752,3.0,0.9128668249308088,2.0,0.9676888300736974,1.0,0.5295993289166216,1.0,0.646152820614285,1.0,0.9999916554191084,1.0,0.9998541091101508,3.0,0.9427743323340162,0.0,0.8882292007315381
