comment_id,sentiment,sentiment_confidence,index,respect,respect_confidence,insult,insult_confidence,humiliate,humiliate_confidence,status,status_confidence,dehumanize,dehumanize_confidence,violence,violence_confidence,genocide,genocide_confidence,attack_defend,attack_defend_confidence,hatespeech,hatespeech_confidence
616,,0.0,160,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
809,,0.0,13,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,1.0,0.0
1253,2.0,0.0,8,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0
1550,3.0,0.0,108,1.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0
1645,,0.0,143,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
1787,,0.0,184,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2009,,0.0,34,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2088,,0.0,136,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2173,,0.0,57,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2317,,0.0,186,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2747,1.0,0.0,76,2.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0
2952,3.0,0.0,82,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
4145,,0.0,105,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
4458,2.0,0.0,54,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0
4587,,0.0,121,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,1.0,0.0
4762,2.0,0.0,98,2.0,0.0,,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
5212,1.0,0.0,101,1.0,0.0,,0.0,2.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0
6032,,0.0,159,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
6214,2.0,0.0,27,1.0,0.0,3.0,0.0,3.0,0.0,,0.0,3.0,0.0,2.0,0.0,,0.0,3.0,0.0,1.0,0.0
6616,3.0,0.0,73,3.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
6827,,0.0,150,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
6830,,0.0,188,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,3.0,0.0,1.0,0.0
7479,,0.0,133,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
8041,,0.0,65,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,1.0,0.0
8369,,0.0,15,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,1.0,0.0
8503,,0.0,80,2.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,1.0,0.0
8603,,0.0,92,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
8717,2.0,0.0,196,2.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0
8937,2.0,0.0,23,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0
8994,3.0,0.0,119,3.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
9989,,0.0,155,0.0,0.0,,0.0,,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0
10031,2.0,0.0,89,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
10043,,0.0,192,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
10476,2.0,0.0,75,3.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
11064,,0.0,17,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
11248,2.0,0.0,46,3.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
11466,,0.0,59,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,3.0,0.0,,0.0
12121,2.0,0.0,11,3.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
12278,,0.0,176,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
12852,2.0,0.0,147,1.0,0.0,3.0,0.0,2.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,3.0,0.0,1.0,0.0
13076,2.0,0.0,1,1.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0
13252,,0.0,151,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,1.0,0.0
13674,,0.0,69,0.0,0.0,3.0,0.0,,0.0,,0.0,3.0,0.0,2.0,0.0,,0.0,3.0,0.0,1.0,0.0
13734,,0.0,197,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
13756,,0.0,41,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
14213,,0.0,193,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
15026,0.0,0.0,77,0.0,0.0,4.0,0.0,,0.0,,0.0,4.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0
15118,,0.0,96,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
15312,,0.0,47,0.0,0.0,,0.0,,0.0,,0.0,,0.0,3.0,0.0,,0.0,3.0,0.0,1.0,0.0
15802,,0.0,7,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
16178,,0.0,125,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
