comment_id,index,label_logprobs
47777,0,"{'1': -0.4041427671909332, '0': -1.2322677373886108, '2': -3.2010178565979004}"
39773,1,"{'0': -0.3202926218509674, '1': -1.335917592048645, '2': -4.5546674728393555}"
47101,2,"{'2': -0.190764918923378, '1': -1.7532649040222168, '0': -8.159515380859375}"
43625,3,"{'1': -0.3877776563167572, '2': -1.1846526861190796, '0': -4.169027805328369}"
12538,4,"{'2': -0.011261707171797752, '1': -4.558136940002441, '0': -10.136261940002441}"
11001,5,"{'1': -0.6079375147819519, '2': -0.9516875147819519, '0': -2.6704375743865967}"
13168,6,"{'2': -0.07027275860309601, '1': -2.69527268409729, '0': -8.523397445678711}"
17034,7,"{'2': -0.014088813215494156, '1': -4.2797136306762695, '0': -11.06096363067627}"
40171,8,"{'1': -0.5728156566619873, '2': -0.8540656566619873, '0': -4.572815895080566}"
1006,9,"{'2': -0.012909764423966408, '1': -4.387909889221191, '0': -10.247284889221191}"
23643,10,"{'0': -0.010805665515363216, '1': -4.542055606842041, '2': -10.2295560836792}"
14241,11,"{'1': -0.46167606115341187, '0': -1.5710511207580566, '2': -1.8210511207580566}"
20583,12,"{'1': -0.5454017519950867, '0': -0.8735267519950867, '2': -5.873526573181152}"
30879,13,"{'1': -0.6863046288490295, '2': -0.7175546288490295, '0': -4.795679569244385}"
29527,14,"{'2': -0.23511800169944763, '1': -1.57886803150177, '0': -5.7663679122924805}"
23016,15,"{'2': -0.12594519555568695, '1': -2.1415700912475586, '0': -7.844695091247559}"
22819,16,"{'2': -0.24751856923103333, '1': -1.528768539428711, '0': -6.075643539428711}"
36534,17,"{'2': -0.026818186044692993, '1': -3.63619327545166, '0': -9.93306827545166}"
7287,18,"{'2': -0.07356669008731842, '1': -2.6516916751861572, '0': -9.026691436767578}"
32074,19,"{'0': -0.012227928265929222, '1': -4.418478012084961, '2': -9.684103012084961}"
46526,20,"{'2': -0.1749286949634552, '1': -1.8311786651611328, '0': -8.456178665161133}"
30683,21,"{'2': -0.2456248253583908, '1': -1.5268747806549072, '0': -7.667500019073486}"
15758,22,"{'2': -0.3782256245613098, '1': -1.159475564956665, '0': -6.753225803375244}"
14868,23,"{'0': -0.03936142474412918, '1': -3.2581114768981934, '2': -9.414361000061035}"
11817,24,"{'2': -0.15606050193309784, '1': -1.9373104572296143, '0': -8.593560218811035}"
4373,25,"{'0': -0.2408589869737625, '1': -1.568984031677246, '2': -5.209609031677246}"
1323,26,"{'0': -0.23531295359134674, '1': -1.5634379386901855, '2': -8.500938415527344}"
38126,27,"{'2': -0.2601246237754822, '1': -1.478874683380127, '0': -8.150749206542969}"
26362,28,"{'1': -0.39208269119262695, '0': -1.423332691192627, '2': -2.485832691192627}"
5410,29,"{'2': -0.4640691876411438, '1': -1.026569128036499, '0': -4.370319366455078}"
39276,30,"{'2': -0.3285743296146393, '1': -1.281699299812317, '0': -7.953574180603027}"
32811,31,"{'2': -0.2872500717639923, '1': -1.39662504196167, '0': -6.33412504196167}"
33729,32,"{'1': -0.4555133581161499, '2': -1.42426335811615, '0': -2.0805134773254395}"
47480,33,"{'2': -0.4891584813594818, '1': -0.9579085111618042, '0': -5.786033630371094}"
10694,34,"{'0': -0.06034431606531143, '1': -2.8415942192077637, '2': -8.857219696044922}"
1031,35,"{'2': -0.07389059662818909, '1': -2.7145156860351562, '0': -7.308265686035156}"
48834,36,"{'1': -0.3249903917312622, '2': -1.6843653917312622, '0': -2.3874902725219727}"
43341,37,"{'2': -0.056381430476903915, '1': -2.9157564640045166, '0': -9.368881225585938}"
47870,38,"{'2': -0.3307875096797943, '1': -1.2682875394821167, '0': -8.502662658691406}"
49895,39,"{'0': -0.06469602882862091, '1': -2.7834460735321045, '2': -7.205320835113525}"
37291,40,"{'2': -0.09469228982925415, '1': -2.4071922302246094, '0': -8.57906723022461}"
11121,41,"{'2': -0.6589332222938538, '1': -0.7526832222938538, '0': -4.502683162689209}"
38307,42,"{'1': -0.5852787494659424, '2': -0.8352787494659424, '0': -4.929028511047363}"
19352,43,"{'0': -0.40553614497184753, '1': -1.10866117477417, '2': -5.76491117477417}"
24301,44,"{'0': -0.36838963627815247, '1': -1.18088960647583, '2': -6.85276460647583}"
23452,45,"{'1': -0.4208911061286926, '0': -1.5146410465240479, '2': -2.092766046524048}"
886,46,"{'2': -0.515399694442749, '1': -0.921649694442749, '0': -5.374774932861328}"
32374,47,"{'2': -0.10066470503807068, '1': -2.3506646156311035, '0': -8.600665092468262}"
25790,48,"{'2': -0.39051464200019836, '1': -1.156139612197876, '0': -4.765514850616455}"
5611,49,"{'1': -0.574565589427948, '2': -0.965190589427948, '0': -2.8870656490325928}"
44643,50,"{'1': -0.5371876358985901, '2': -0.9121876358985901, '0': -4.287187576293945}"
31537,51,"{'2': -0.10348597913980484, '1': -2.3222360610961914, '0': -8.494111061096191}"
11238,52,"{'2': -0.03762543946504593, '1': -3.303250551223755, '0': -9.537625312805176}"
19943,53,"{'2': -0.620854377746582, '1': -0.777104377746582, '0': -5.964604377746582}"
20844,54,"{'2': -0.053086262196302414, '1': -2.974961280822754, '0': -7.740586280822754}"
39016,55,"{'2': -0.022646959871053696, '1': -3.803896903991699, '0': -11.1788969039917}"
42490,56,"{'1': -0.6873277425765991, '0': -0.7654527425765991, '2': -3.4529528617858887}"
1402,57,"{'1': -0.1861778199672699, '0': -2.4205527305603027, '2': -2.5143027305603027}"
41581,58,"{'2': -0.12917283177375793, '1': -2.1135478019714355, '0': -8.238548278808594}"
48081,59,"{'2': -0.05852770805358887, '1': -2.871027708053589, '0': -9.042902946472168}"
12449,60,"{'2': -0.17800167202949524, '1': -1.8186266422271729, '0': -8.490501403808594}"
46066,61,"{'2': -0.28096750378608704, '1': -1.5153424739837646, '0': -3.8434674739837646}"
37829,62,"{'1': -0.45222410559654236, '2': -1.0928491353988647, '0': -3.561599016189575}"
1192,63,"{'2': -0.031197888776659966, '1': -3.5624477863311768, '0': -8.562447547912598}"
44768,64,"{'2': -0.4248846173286438, '1': -1.065509557723999, '0': -6.534259796142578}"
33748,65,"{'1': -0.5879886150360107, '0': -0.8536136150360107, '2': -3.9942386150360107}"
13741,66,"{'1': -0.6254847049713135, '2': -0.7817347049713135, '0': -4.922359466552734}"
25323,67,"{'2': -0.15618878602981567, '1': -1.937438726425171, '0': -7.81243896484375}"
6831,68,"{'2': -0.017128631472587585, '1': -4.0796284675598145, '0': -10.251503944396973}"
43075,69,"{'2': -0.6574028730392456, '1': -0.7355278730392456, '0': -6.001152992248535}"
48594,70,"{'0': -0.28415027260780334, '1': -1.409150242805481, '2': -5.862275123596191}"
16311,71,"{'2': -0.19374312460422516, '1': -1.740618109703064, '0': -7.4124932289123535}"
48957,72,"{'2': -0.6393883228302002, '1': -0.7643883228302002, '0': -5.014388084411621}"
38719,73,"{'2': -0.017391443252563477, '1': -4.189266204833984, '0': -10.048641204833984}"
17090,74,"{'0': -0.09645114094018936, '1': -2.3933260440826416, '2': -7.471451282501221}"
5391,75,"{'0': -0.04401159659028053, '1': -3.1690115928649902, '2': -7.16901159286499}"
35794,76,"{'2': -0.20160356163978577, '1': -1.7172285318374634, '0': -6.373478412628174}"
42107,77,"{'2': -0.06405532360076904, '1': -2.7828054428100586, '0': -10.204680442810059}"
20695,78,"{'0': -0.09646185487508774, '1': -2.393336772918701, '2': -7.518336772918701}"
14184,79,"{'0': -0.34885111451148987, '1': -1.2238510847091675, '2': -8.020726203918457}"
48140,80,"{'2': -0.21337547898292542, '1': -1.650875449180603, '0': -8.479000091552734}"
41025,81,"{'1': -0.6475024223327637, '0': -1.0381274223327637, '2': -2.1006274223327637}"
34714,82,"{'2': -0.014615495689213276, '1': -4.248990535736084, '0': -10.280240058898926}"
48242,83,"{'1': -0.513951301574707, '0': -1.185826301574707, '2': -2.342076301574707}"
26845,84,"{'2': -0.2303062528371811, '1': -1.5896812677383423, '0': -6.464681148529053}"
8070,85,"{'2': -0.035257838666439056, '1': -3.3790078163146973, '0': -8.629008293151855}"
24948,86,"{'1': -0.42574918270111084, '0': -1.4882491827011108, '2': -2.1132493019104004}"
12635,87,"{'2': -0.0364309586584568, '1': -3.333306074142456, '0': -9.692681312561035}"
29293,88,"{'2': -0.6197052001953125, '1': -0.7759552001953125, '0': -6.5415802001953125}"
12271,89,"{'2': -0.037108443677425385, '1': -3.3496084213256836, '0': -8.943358421325684}"
28981,90,"{'2': -0.017202220857143402, '1': -4.079702377319336, '0': -9.985952377319336}"
43872,91,"{'2': -0.4920443296432495, '1': -0.9764193296432495, '0': -4.445169448852539}"
7737,92,"{'2': -0.15601930022239685, '1': -1.9372693300247192, '0': -8.04664421081543}"
16019,93,"{'0': -0.03253111243247986, '1': -3.4544060230255127, '2': -8.251280784606934}"
37045,94,"{'1': -0.6669937372207642, '2': -0.8076187372207642, '0': -3.2138686180114746}"
49409,95,"{'2': -0.3762698173522949, '1': -1.188769817352295, '0': -4.720019817352295}"
