index,comment_id,annotator_id,p_yes,p_no,pred_yes,saw_yes,saw_no
0,47777,10873,5.475979583229276e-05,0.9999452402041678,0,1,1
1,39773,2790,0.0014103587715718847,0.9985896412284282,0,1,1
2,47101,3379,0.9999987320720258,1.2679279740671718e-06,1,1,1
3,43625,7365,0.9999824970763006,1.7502923699470007e-05,1,1,1
4,12538,488,0.9999999460049844,5.399501549335629e-08,1,1,1
5,11001,527,0.2068940488158881,0.7931059511841119,0,1,1
6,13168,3275,0.9999999530883283,4.691167157146028e-08,1,1,1
7,17034,6801,0.9999999943972002,5.6027997456728566e-09,1,1,1
8,40171,10363,0.994269753357661,0.005730246642339135,1,1,1
9,1006,10615,0.9999999804443075,1.9555692361519767e-08,1,1,1
10,23643,9750,5.28551406875853e-07,0.9999994714485931,0,1,1
11,14241,7331,0.8175744761936437,0.18242552380635632,1,1,1
12,20583,7259,4.495181578462583e-06,0.9999955048184215,0,1,1
13,30879,1329,0.9999678076540077,3.219234599221273e-05,1,1,1
14,29527,2171,0.9999998485674114,1.5143258861736766e-07,1,1,1
15,23016,10173,0.9999741325781782,2.5867421821694302e-05,1,1,1
16,22819,9912,0.9999857144755396,1.428552446030427e-05,1,1,1
17,36534,9312,0.9999999845301704,1.5469829697219246e-08,1,1,1
18,7287,4546,0.9999999416174962,5.8382503970436646e-08,1,1,1
19,32074,5487,1.742978371095475e-07,0.999999825702163,0,1,1
20,46526,3863,0.9999227781003038,7.722189969612314e-05,1,1,1
21,30683,2576,0.9999843104502745,1.568954972567125e-05,1,1,1
22,15758,8749,0.999648561674799,0.0003514383252010054,1,1,1
23,14868,3948,1.2824925546534506e-08,0.9999999871750743,0,1,1
24,11817,3559,0.9999999890302494,1.0969750621221578e-08,1,1,1
25,4373,5717,0.49218813572079556,0.5078118642792044,0,1,1
26,1323,2017,3.8070130779375144e-07,0.9999996192986921,0,1,1
27,38126,6701,0.9999901816741872,9.818325812706631e-06,1,1,1
28,26362,2689,2.726469945665712e-06,0.9999972735300542,0,1,1
29,5410,123,0.9999955048168139,4.495183186049675e-06,1,1,1
30,39276,44,0.9999995335549916,4.664450083939035e-07,1,1,1
31,32811,3540,0.9999531611325531,4.683886744694143e-05,1,1,1
32,33729,3610,0.9999611688855321,3.883111446782241e-05,1,1,1
33,47480,8856,0.9999989651463663,1.0348536336422239e-06,1,1,1
34,10694,8325,1.917172656114041e-10,0.9999999998082827,0,1,1
35,1031,5754,0.9999501404179364,4.9859582063606154e-05,1,1,1
36,48834,8072,0.0006667023197921055,0.999333297680208,0,1,1
37,43341,5860,0.9999997830828204,2.1691717963661956e-07,1,1,1
38,47870,227,0.9999959705443593,4.029455640643389e-06,1,1,1
39,49895,9488,6.5404395658007735e-06,0.9999934595604342,0,1,1
40,37291,8201,0.999999949276401,5.072359886032782e-08,1,1,1
41,11121,2218,0.9808759635635717,0.019124036436428262,1,1,1
42,38307,8115,0.999992353459004,7.646540995997027e-06,1,1,1
43,19352,9715,3.2192330642789345e-05,0.9999678076693573,0,1,1
44,24301,2593,4.157366734853749e-06,0.9999958426332651,0,1,1
45,23452,4616,0.9854964183118773,0.014503581688122701,1,1,1
46,886,9886,0.9999995549149481,4.450850519409479e-07,1,1,1
47,32374,5521,0.9999997035094277,2.9649057228257415e-07,1,1,1
48,25790,7477,0.9999995479058815,4.520941184664446e-07,1,1,1
49,5611,6998,0.5621765008857981,0.4378234991142019,1,1,1
50,44643,8824,0.8175744806385543,0.18242551936144574,1,1,1
51,31537,6314,0.9999998764043494,1.2359565067893687e-07,1,1,1
52,11238,8609,0.9999999856927464,1.4307253652763292e-08,1,1,1
53,19943,1532,0.9972850148676368,0.0027149851323632745,1,1,1
54,20844,1782,0.9999997383479481,2.616520519918011e-07,1,1,1
55,39016,10060,0.9999999611088626,3.88911373910011e-08,1,1,1
56,42490,3123,7.1832578307532715e-06,0.9999928167421692,0,1,1
57,1402,4901,1.3007125364251828e-05,0.9999869928746359,0,1,1
58,41581,2996,0.9999995549149481,4.450850519409479e-07,1,1,1
59,48081,2980,0.9999971869835219,2.8130164780462428e-06,1,1,1
60,12449,2893,0.9999998663612392,1.3363876092119568e-07,1,1,1
61,46066,2914,0.9997219691463501,0.0002780308536497886,1,1,1
62,37829,4339,0.000345991623672993,0.9996540083763271,0,1,1
63,1192,10352,0.9999993213261761,6.786738239951407e-07,1,1,1
64,44768,3590,0.9999986918235682,1.308176431721828e-06,1,1,1
65,33748,4146,0.0002611904035430805,0.9997388095964569,0,1,1
66,13741,3624,0.9998204720549632,0.0001795279450368319,1,1,1
67,25323,2637,0.999994744604293,5.255395706988603e-06,1,1,1
68,6831,2577,0.9999999572864418,4.2713558122937375e-08,1,1,1
69,43075,2251,0.9999989322975118,1.0677024882029858e-06,1,1,1
70,48594,5266,1.012998856518626e-05,0.9999898700114347,0,1,1
71,16311,9140,0.9999969584046658,3.0415953341238032e-06,1,1,1
72,48957,4800,0.9999973157989794,2.6842010205112568e-06,1,1,1
73,38719,4632,0.9999999781840434,2.1815956456438676e-08,1,1,1
74,17090,3691,4.139938040913323e-08,0.9999999586006195,0,1,1
75,5391,10716,1.3232043420605462e-08,0.9999999867679565,0,1,1
76,35794,7453,0.9999994103579812,5.896420187846443e-07,1,1,1
77,42107,4603,0.9999990125364241,9.874635760303044e-07,1,1,1
78,20695,6765,6.083588916690796e-07,0.9999993916411083,0,1,1
79,14184,1168,1.2554208851873208e-07,0.9999998744579115,0,1,1
80,48140,10871,0.9999981551756482,1.8448243519467461e-06,1,1,1
81,41025,1095,0.004609572905819922,0.9953904270941801,0,1,1
82,34714,10256,0.9999999434137233,5.658627675294776e-08,1,1,1
83,48242,10381,0.0028009276226385973,0.9971990723773614,0,1,1
84,26845,3963,0.9999998437604258,1.5623957423545125e-07,1,1,1
