comment_id,index,label_logprobs
47777,0,"{'3': -0.01207282580435276, '2': -4.449573040008545, '4': -8.058947563171387, '1': -14.558947563171387, '0': -17.152698516845703}"
39773,1,"{'3': -0.007978592999279499, '2': -5.070478439331055, '4': -6.398603439331055, '1': -12.648603439331055, '0': -14.836103439331055}"
47101,2,"{'1': -0.6783004999160767, '0': -0.7095504999160767, '2': -7.381425380706787, '3': -10.334550857543945, '4': -13.990800857543945}"
43625,3,"{'1': -0.03813138231635094, '0': -3.3037564754486084, '2': -7.319381237030029, '3': -12.038131713867188, '4': -16.092819213867188}"
12538,4,"{'0': -1.6569954823353328e-05, '1': -11.015641212463379, '2': -15.921891212463379, '3': -18.593767166137695, '4': -19.625017166137695}"
11001,5,"{'3': -0.2935846447944641, '2': -1.3717095851898193, '1': -7.387334823608398, '4': -9.231084823608398, '0': -10.637334823608398}"
13168,6,"{'0': -0.00013386306818574667, '1': -8.922008514404297, '2': -14.562633514404297, '3': -18.125133514404297, '4': -20.812633514404297}"
17034,7,"{'0': -7.152555099310121e-07, '1': -14.203125953674316, '2': -19.828125, '3': -22.828125, '4': -24.703125}"
40171,8,"{'0': -0.11623020470142365, '1': -2.2099802494049072, '2': -10.538105010986328, '3': -14.772480010986328, '4': -17.764667510986328}"
1006,9,"{'0': -1.728519782773219e-05, '1': -10.968767166137695, '2': -18.093767166137695, '3': -21.125017166137695, '4': -22.765642166137695}"
23643,10,"{'3': -0.029772749170660973, '4': -3.5297727584838867, '2': -10.717272758483887, '1': -15.389147758483887, '0': -16.81102180480957}"
14241,11,"{'1': -0.04037072882056236, '0': -3.3216207027435303, '2': -5.665370941162109, '3': -11.67318344116211, '4': -16.52474594116211}"
20583,12,"{'2': -0.4396016001701355, '1': -1.0958516597747803, '3': -3.8458516597747803, '4': -9.81460189819336, '0': -10.43960189819336}"
30879,13,"{'1': -0.27151763439178467, '0': -1.4433926343917847, '2': -6.412142753601074, '3': -11.396517753601074, '4': -15.904330253601074}"
29527,14,"{'0': -0.00021360022947192192, '1': -8.453338623046875, '2': -14.765838623046875, '3': -17.875213623046875, '4': -19.906463623046875}"
23016,15,"{'1': -0.5514912009239197, '0': -0.8639912009239197, '2': -6.1608662605285645, '3': -8.067115783691406, '4': -11.582740783691406}"
22819,16,"{'1': -0.19072648882865906, '0': -1.7688515186309814, '2': -5.784476280212402, '3': -10.190726280212402, '4': -15.042288780212402}"
36534,17,"{'0': -4.768370445162873e-07, '1': -14.453125, '2': -20.015625, '3': -22.84375, '4': -24.796875}"
7287,18,"{'0': -8.583032467868179e-06, '1': -11.671883583068848, '2': -17.17188262939453, '3': -20.70313262939453, '4': -22.57813262939453}"
32074,19,"{'3': -0.15355731546878815, '2': -1.950432300567627, '4': -9.012932777404785, '1': -11.294182777404785, '0': -13.411370277404785}"
46526,20,"{'1': -0.13066908717155457, '0': -2.115044116973877, '2': -6.286919116973877, '3': -12.583793640136719, '4': -17.33379364013672}"
30683,21,"{'0': -0.08894971013069153, '1': -2.463949680328369, '2': -11.526450157165527, '3': -14.971762657165527, '4': -18.19051170349121}"
15758,22,"{'1': -0.10035593062639236, '0': -2.350355863571167, '2': -8.819106101989746, '3': -13.412856101989746, '4': -17.60035514831543}"
14868,23,"{'2': -0.16078191995620728, '3': -1.9107818603515625, '1': -7.8795318603515625, '4': -8.676406860351562, '0': -11.645156860351562}"
11817,24,"{'0': -0.0001714082609396428, '1': -8.672046661376953, '2': -16.781421661376953, '3': -20.140796661376953, '4': -22.218921661376953}"
4373,25,"{'1': -0.24155694246292114, '3': -1.6634318828582764, '0': -4.1009321212768555, '2': -4.9603071212768555, '4': -6.4759321212768555}"
1323,26,"{'3': -0.15567104518413544, '4': -1.9369210004806519, '2': -11.311921119689941, '1': -17.515045166015625, '0': -18.413482666015625}"
38126,27,"{'0': -0.4128481447696686, '1': -1.0847231149673462, '2': -8.334723472595215, '3': -13.209723472595215, '4': -17.6550350189209}"
26362,28,"{'2': -0.4129497706890106, '3': -1.084824800491333, '1': -8.069199562072754, '4': -10.459824562072754, '0': -13.241074562072754}"
5410,29,"{'1': -0.22887934744358063, '0': -1.6195043325424194, '2': -5.025754451751709, '3': -11.33825397491455, '4': -16.017942428588867}"
39276,30,"{'0': -0.00021669900161214173, '1': -8.437716484069824, '2': -15.640841484069824, '3': -19.17209243774414, '4': -21.26584243774414}"
32811,31,"{'0': -0.09740597754716873, '1': -2.3786559104919434, '2': -8.909906387329102, '3': -13.058343887329102, '4': -16.1286563873291}"
33729,32,"{'1': -0.25487181544303894, '0': -1.7548718452453613, '2': -2.9579968452453613, '3': -8.942371368408203, '4': -13.825183868408203}"
47480,33,"{'0': -0.02841058187186718, '1': -3.5752856731414795, '2': -12.653410911560059, '3': -15.942473411560059, '4': -18.864347457885742}"
10694,34,"{'3': -0.11621534824371338, '4': -2.209965229034424, '2': -11.319340705871582, '1': -18.147464752197266, '0': -18.858402252197266}"
1031,35,"{'0': -0.11675338447093964, '1': -2.210503339767456, '2': -7.741753578186035, '3': -9.648003578186035, '4': -9.882378578186035}"
48834,36,"{'1': -0.1037813201546669, '0': -2.353781223297119, '2': -5.760031223297119, '3': -7.791281223297119, '4': -12.400656700134277}"
43341,37,"{'0': -8.761498611420393e-05, '1': -9.34383773803711, '2': -16.81258773803711, '3': -20.37508773803711, '4': -22.92977523803711}"
47870,38,"{'0': -0.2661958634853363, '1': -1.4536958932876587, '2': -12.031821250915527, '3': -16.39119529724121, '4': -19.62557029724121}"
49895,39,"{'3': -0.027214782312512398, '4': -3.620964765548706, '2': -9.308465003967285, '1': -14.925652503967285, '0': -17.02721405029297}"
37291,40,"{'0': -0.00040463366894982755, '1': -7.8129048347473145, '2': -16.750404357910156, '3': -20.164466857910156, '4': -22.711341857910156}"
11121,41,"{'0': -0.4568290114402771, '1': -1.0037040710449219, '2': -8.566204071044922, '3': -13.378704071044922, '4': -16.995891571044922}"
38307,42,"{'0': -0.006527175661176443, '1': -5.037776947021484, '2': -10.959651947021484, '3': -15.006526947021484, '4': -17.514339447021484}"
19352,43,"{'3': -0.04246660694479942, '2': -3.183091640472412, '4': -9.292466163635254, '1': -10.511216163635254, '0': -13.862778663635254}"
24301,44,"{'3': -0.5902601480484009, '2': -0.8715101480484009, '1': -3.6527600288391113, '4': -6.590260028839111, '0': -8.49651050567627}"
23452,45,"{'2': -0.7077367305755615, '3': -0.9577367305755615, '1': -2.1452367305755615, '4': -5.457736968994141, '0': -6.129611968994141}"
886,46,"{'0': -0.20150037109851837, '1': -1.701500415802002, '2': -9.373374938964844, '3': -13.076499938964844, '4': -16.599937438964844}"
32374,47,"{'0': -0.0044094715267419815, '1': -5.426284313201904, '2': -14.863784790039062, '3': -18.496597290039062, '4': -20.871597290039062}"
25790,48,"{'0': -0.00917102675884962, '1': -4.696671009063721, '2': -12.571671485900879, '3': -16.485733032226562, '4': -19.727920532226562}"
5611,49,"{'1': -0.3027583062648773, '2': -1.3496333360671997, '0': -6.34963321685791, '3': -8.88088321685791, '4': -14.27150821685791}"
44643,50,"{'1': -0.2920847237110138, '0': -1.5108346939086914, '2': -3.8702096939086914, '3': -4.463959693908691, '4': -8.526459693908691}"
31537,51,"{'0': -0.025509042665362358, '1': -3.6817591190338135, '2': -11.791133880615234, '3': -15.330196380615234, '4': -18.189571380615234}"
11238,52,"{'0': -4.291525328881107e-06, '1': -12.359378814697266, '2': -18.625003814697266, '3': -21.906253814697266, '4': -23.765628814697266}"
19943,53,"{'1': -0.26737332344055176, '0': -1.4704983234405518, '2': -5.361123085021973, '3': -9.157998085021973, '4': -14.087685585021973}"
20844,54,"{'0': -0.00018439977429807186, '1': -8.656434059143066, '2': -11.547059059143066, '3': -14.593934059143066, '4': -15.093934059143066}"
39016,55,"{'0': -4.768370445162873e-07, '1': -14.5625, '2': -19.046875, '3': -21.921875, '4': -22.5625}"
42490,56,"{'2': -0.00010442188795423135, '3': -9.406353950500488, '1': -10.781353950500488, '4': -13.984478950500488, '0': -14.265728950500488}"
1402,57,"{'2': -0.23027093708515167, '1': -2.0427708625793457, '3': -2.5896458625793457, '0': -6.980270862579346, '4': -10.230271339416504}"
41581,58,"{'0': -0.027130091562867165, '1': -3.620880126953125, '2': -12.042755126953125, '3': -14.777130126953125, '4': -16.902130126953125}"
48081,59,"{'0': -0.24853986501693726, '1': -1.514164924621582, '2': -9.592289924621582, '3': -13.646977424621582, '4': -17.592288970947266}"
