sentiment,confidence,comment_id,index
4.0,0.9658397527866815,39073,0
2.0,0.8238761382929102,13076,1
,0.0,21293,2
2.0,0.8596044124891465,43507,3
4.0,0.9358647820660653,29154,4
1.0,0.9848851954362499,43935,5
2.0,0.4206456307676606,20384,6
4.0,0.44445870735981796,15802,7
4.0,0.5944370066531257,1253,8
1.0,0.6205302108581959,20070,9
4.0,0.9987617585185474,20065,10
4.0,0.5972483681824868,12121,11
4.0,0.56815458636005,38267,12
2.0,0.672544057499911,809,13
1.0,0.9286864170092951,20021,14
1.0,0.592318390957072,8369,15
1.0,0.5346066474139438,20043,16
1.0,0.9053128420381504,11064,17
,0.0,20004,18
2.0,0.4825028995969251,20048,19
1.0,0.9475048289518881,19671,20
,0.0,20012,21
,0.0,42092,22
4.0,0.4666185003665515,8937,23
,0.0,19815,24
2.0,0.5525602422538393,41212,25
1.0,0.9960849383303899,20007,26
2.0,0.8093355211154493,6214,27
4.0,0.5345480508181774,37970,28
,0.0,20016,29
2.0,0.8631799449578963,28621,30
,0.0,25932,31
2.0,0.9159483842030923,38787,32
1.0,0.7994021414142412,20029,33
,0.0,2009,34
,0.0,38423,35
4.0,0.993900184393539,20062,36
,0.0,29710,37
2.0,0.9133663806776842,34899,38
4.0,0.9991107749096791,20064,39
,0.0,20028,40
2.0,0.42252712455268876,13756,41
4.0,0.9297013683061084,20067,42
,0.0,19343,43
2.0,0.9565947549224076,23410,44
,0.0,20018,45
4.0,0.9894661566939454,11248,46
1.0,0.8513029310614466,15312,47
1.0,0.9753756441373479,20014,48
4.0,0.44352019431798656,20053,49
2.0,0.5736304413855315,42897,50
,0.0,20033,51
,0.0,26548,52
1.0,0.6758755131890316,20034,53
2.0,0.7299636098811716,4458,54
,0.0,42704,55
1.0,0.9895484465447012,43793,56
,0.0,2173,57
1.0,0.6126822776775891,49597,58
2.0,0.41168208642740667,11466,59
,0.0,20005,60
1.0,0.9870399802263157,42470,61
1.0,0.9568024957580793,42646,62
,0.0,20009,63
1.0,0.9495823907541029,48425,64
1.0,0.56653295946059,8041,65
2.0,0.4833569751740311,16493,66
,0.0,20057,67
4.0,0.6586422281114983,20055,68
1.0,0.9572851044124648,13674,69
1.0,0.9934411351376687,22918,70
1.0,0.986473312485793,20020,71
1.0,0.935463496521844,24631,72
4.0,0.98052499177406,6616,73
2.0,0.8533748179008437,17732,74
3.0,0.561667473550341,10476,75
5.0,0.75369135940875,2747,76
1.0,0.9996808594195826,15026,77
3.0,0.9738922216747309,31779,78
4.0,0.47253534540355285,30261,79
,0.0,8503,80
,0.0,30061,81
4.0,0.9874587233247395,2952,82
1.0,0.7659375724774944,25918,83
,0.0,18090,84
,0.0,23301,85
4.0,0.7816444261316013,39711,86
2.0,0.9882417423505477,20052,87
2.0,0.9742770249935924,18496,88
3.0,0.9261656178792592,10031,89
2.0,0.9943416251100868,38528,90
,0.0,28547,91
,0.0,8603,92
2.0,0.8653394964051798,17157,93
1.0,0.6919293180898745,45259,94
4.0,0.8106923986215211,41924,95
,0.0,15118,96
,0.0,20010,97
2.0,0.713959044510755,4762,98
4.0,0.6950383348292593,36873,99
1.0,0.5166440947478493,20015,100
2.0,0.9275457665401075,5212,101
,0.0,25804,102
5.0,0.5456525544803108,25862,103
1.0,0.9610142663562491,23517,104
,0.0,4145,105
,0.0,21006,106
1.0,0.5679403312490292,39561,107
2.0,0.6328989986284972,1550,108
1.0,0.7255162560787493,29939,109
1.0,0.6864127435196543,20013,110
4.0,0.9885480278889593,22394,111
,0.0,34734,112
2.0,0.8169640564729941,40455,113
,0.0,20068,114
1.0,0.5813610345279828,21406,115
2.0,0.6078317735062345,30665,116
,0.0,20026,117
4.0,0.9976729789640274,20059,118
4.0,0.9985397950103332,8994,119
2.0,0.8389647429266656,20024,120
1.0,0.43970091640132847,4587,121
2.0,0.7118174769633886,26493,122
1.0,0.4850288996088101,20038,123
1.0,0.7036705372357649,43442,124
1.0,0.9939581252347577,16178,125
1.0,0.9987009971689028,47205,126
3.0,0.4655214989498893,26842,127
,0.0,21275,128
1.0,0.5376386635922278,27786,129
1.0,0.6284601829546195,32962,130
1.0,0.9372036395352301,49016,131
,0.0,20045,132
2.0,0.5592411226317333,7479,133
4.0,0.9807403937794794,20069,134
,0.0,20088,135
1.0,0.6038433754602249,2088,136
2.0,0.4537387570028568,18346,137
,0.0,26170,138
4.0,0.9506700529786176,36180,139
,0.0,20008,140
1.0,0.5647456419879177,22489,141
,0.0,19431,142
,0.0,1645,143
