comment_id,sentiment,sentiment_confidence,index,respect,respect_confidence,insult,insult_confidence,humiliate,humiliate_confidence,status,status_confidence,dehumanize,dehumanize_confidence,violence,violence_confidence,genocide,genocide_confidence,attack_defend,attack_defend_confidence,hatespeech,hatespeech_confidence
616,,0.0,160,0.0,0.8925452485816157,,0.0,,0.0,,0.0,4.0,0.5567379057481129,4.0,0.4315120840914931,,0.0,,0.0,0.0,0.6549072591496597
809,0.0,0.5515751087440018,13,0.0,0.995124976444864,4.0,0.924067597728165,4.0,0.9806204717468788,0.0,0.786793931970907,4.0,0.9072488660755808,4.0,0.8691260315217806,,0.0,4.0,0.8378813087817452,1.0,0.6088216285042203
1253,3.0,0.4374508210876757,8,3.0,0.6137045030197554,1.0,0.4335511168761594,2.0,0.6579179606861565,2.0,0.8420202338391907,1.0,0.4300587522438784,0.0,0.8845853709567753,0.0,0.6119324417520783,2.0,0.415617312065803,1.0,0.933128518699894
1550,3.0,0.3891366512612453,108,0.0,0.6302879764586088,4.0,0.7214182531813776,3.0,0.4919992109289324,3.0,0.5488826120365614,3.0,0.6276846020633489,2.0,0.5084077319461576,1.0,0.4284896984739398,3.0,0.894090477315774,1.0,0.8598630415780023
1645,,0.0,143,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
1787,,0.0,184,0.0,0.937167204456167,,0.0,,0.0,,0.0,4.0,0.6676572044588049,4.0,0.8966284176662779,0.0,0.5202221717706781,,0.0,0.0,0.8759897011184214
2009,,0.0,34,0.0,0.9373393653380804,,0.0,,0.0,,0.0,,0.0,4.0,0.4737465383735558,,0.0,,0.0,0.0,0.4365823737503394
2088,0.0,0.5783031811667927,136,0.0,0.9983489400450586,4.0,0.9887982048349414,4.0,0.980092295999786,3.0,0.369249395473067,4.0,0.6352206901917119,3.0,0.5178038485733719,3.0,0.6489691510587885,4.0,0.8858945415501797,2.0,0.7051298905681287
2173,,0.0,57,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.6304946160406874
2317,,0.0,186,0.0,0.9994694426915008,4.0,0.5958724963373737,4.0,0.5818783389719112,0.0,0.5481339931260779,4.0,0.8813208072587366,3.0,0.4668715526403662,0.0,0.983366855754936,4.0,0.82591964710169,0.0,0.6804158650814777
2747,1.0,0.4779645726066895,76,1.0,0.6327401262635576,2.0,0.6159917631604501,2.0,0.6589174065971835,3.0,0.3524606545284319,2.0,0.5929233671887917,0.0,0.6749744483355223,0.0,0.6456142961276923,3.0,0.7451610479395703,1.0,0.8269596164985302
2952,3.0,0.835292273365825,82,2.0,0.6128398213828492,2.0,0.7019636407499469,2.0,0.7286085996150278,2.0,0.7368767098891267,2.0,0.5667513791831251,0.0,0.7824811460114217,0.0,0.8051828926365913,2.0,0.5091561717532918,1.0,0.9221172970919644
4145,0.0,0.6932758027686937,105,0.0,0.9973914892515916,4.0,0.7034349673087301,,0.0,0.0,0.81602293790478,4.0,0.6590722450156301,4.0,0.9400770148872072,,0.0,4.0,0.7521697659548883,0.0,0.6553280409739127
4458,2.0,0.6500116436365293,54,2.0,0.808683480521951,2.0,0.7135157136870681,2.0,0.6118448009686125,2.0,0.6057047145487328,2.0,0.6139240201035265,1.0,0.5731400097498377,0.0,0.7212586982783162,3.0,0.6581234007482979,1.0,0.8996271029159629
4587,0.0,0.830791398899889,121,0.0,0.9979207922438617,4.0,0.7742838142857142,,0.0,,0.0,4.0,0.6621827636487737,3.0,0.6029320298901898,0.0,0.4292369594332916,4.0,0.6356560642049063,2.0,0.6492803028586013
4762,2.0,0.5900179874495968,98,1.0,0.4259394382643075,2.0,0.6840861257618941,2.0,0.7181213977869427,2.0,0.7990805696536217,1.0,0.5175758174266064,0.0,0.9958658179055566,0.0,0.9966069347726716,3.0,0.6513403206188062,1.0,0.8454313353808284
5212,1.0,0.7407617823680256,101,1.0,0.4691257625402027,3.0,0.5747757178893278,3.0,0.5108022661151777,1.0,0.4406508619843378,3.0,0.4786083137698971,0.0,0.925034824631122,0.0,0.995764390988439,3.0,0.8670205796021448,1.0,0.819881204436381
6032,,0.0,159,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
6214,2.0,0.3492446354302229,27,1.0,0.6802956678755409,3.0,0.6123296449811353,3.0,0.4846901930169835,3.0,0.3049744431222667,3.0,0.6764991556322911,0.0,0.3405854229933757,0.0,0.7661385424411981,3.0,0.9107712981128596,1.0,0.7800919608577551
