comment_id,index,label_logprobs
47777,0,"{'1': -0.19866491854190826, '0': -1.714289903640747, '2': -9.386164665222168}"
39773,1,"{'0': -0.00100419158115983, '1': -6.907254219055176, '2': -12.672879219055176}"
47101,2,"{'2': -0.009457310661673546, '1': -4.665707111358643, '0': -16.548519134521484}"
43625,3,"{'1': -0.22544944286346436, '2': -1.6004494428634644, '0': -10.217637062072754}"
12538,4,"{'2': -2.825220326485578e-05, '1': -10.500028610229492, '0': -14.203153610229492}"
11001,5,"{'1': -0.01707448996603489, '0': -4.1108245849609375, '2': -7.5326995849609375}"
13168,6,"{'2': -8.904537389753386e-05, '1': -9.328213691711426, '0': -16.312589645385742}"
17034,7,"{'2': 0.0, '1': -18.078125, '0': -22.875}"
40171,8,"{'1': -0.27360478043556213, '2': -1.4298547506332397, '0': -10.656416893005371}"
1006,9,"{'2': -4.017272294731811e-05, '1': -10.125040054321289, '0': -16.01566505432129}"
23643,10,"{'0': -0.0014650813536718488, '1': -6.53271484375, '2': -11.62646484375}"
14241,11,"{'1': -0.0903015062212944, '2': -2.449676513671875, '0': -10.684051513671875}"
20583,12,"{'1': -0.28893551230430603, '0': -1.3826855421066284, '2': -10.242060661315918}"
30879,13,"{'2': -0.44534754753112793, '1': -1.023472547531128, '0': -9.835972785949707}"
29527,14,"{'2': -4.2676016164477915e-05, '1': -10.062542915344238, '0': -16.859416961669922}"
23016,15,"{'2': -0.0018695986364036798, '1': -6.2831196784973145, '0': -15.056556701660156}"
22819,16,"{'1': -0.6181217432022095, '2': -0.7743717432022095, '0': -9.891559600830078}"
36534,17,"{'2': -1.4066597032069694e-05, '1': -11.171889305114746, '0': -18.55470085144043}"
7287,18,"{'2': 0.0, '1': -18.234375, '0': -23.0625}"
32074,19,"{'0': -0.0173284113407135, '1': -4.064203262329102, '2': -12.907953262329102}"
46526,20,"{'1': -0.2042844444513321, '2': -1.688659429550171, '0': -12.90740966796875}"
30683,21,"{'2': -0.32615378499031067, '1': -1.2792787551879883, '0': -9.599591255187988}"
15758,22,"{'1': -0.1747942864894867, '2': -1.831044316291809, '0': -8.99510669708252}"
14868,23,"{'0': -0.00011967896716669202, '1': -9.03136920928955, '2': -17.156370162963867}"
11817,24,"{'2': -1.1920928244535389e-07, '1': -16.625, '0': -21.953125}"
4373,25,"{'1': -0.48680639266967773, '0': -0.9555563926696777, '2': -7.111806392669678}"
1323,26,"{'0': -0.002400851808488369, '1': -6.033650875091553, '2': -13.596150398254395}"
38126,27,"{'2': -0.255445659160614, '1': -1.4898207187652588, '0': -11.07575798034668}"
26362,28,"{'1': -0.14911936223506927, '0': -1.9772443771362305, '2': -9.39130687713623}"
5410,29,"{'1': -0.45667606592178345, '2': -1.0035510063171387, '0': -10.151988983154297}"
39276,30,"{'2': -2.3841830625315197e-06, '1': -12.953126907348633, '0': -18.031251907348633}"
32811,31,"{'2': -0.0037739500403404236, '1': -5.581899166107178, '0': -13.44908618927002}"
33729,32,"{'1': -0.03672896698117256, '2': -3.364853858947754, '0': -6.505478858947754}"
47480,33,"{'2': -0.02324637770652771, '1': -3.7732462882995605, '0': -13.843559265136719}"
10694,34,"{'0': -0.00017987063620239496, '1': -8.6251802444458, '2': -15.0939302444458}"
1031,35,"{'2': -0.4487479031085968, '1': -1.0893728733062744, '0': -3.6831228733062744}"
48834,36,"{'1': -0.012686029076576233, '0': -4.622061252593994, '2': -5.887686252593994}"
43341,37,"{'2': -4.410734163684538e-06, '1': -12.343754768371582, '0': -19.570316314697266}"
47870,38,"{'1': -0.15568134188652039, '2': -1.9369313716888428, '0': -10.710369110107422}"
49895,39,"{'0': -0.0011175584513694048, '1': -6.797992706298828, '2': -13.938617706298828}"
37291,40,"{'2': -0.0006669919239357114, '1': -7.313167095184326, '0': -15.914729118347168}"
11121,41,"{'2': -0.0688900277018547, '1': -2.70951509475708, '0': -13.373577117919922}"
38307,42,"{'2': -0.00013350549852475524, '1': -8.922008514404297, '0': -15.976696014404297}"
19352,43,"{'0': -0.0668499767780304, '1': -2.738724946975708, '2': -11.348099708557129}"
24301,44,"{'1': -0.5172913074493408, '0': -0.9079163074493408, '2': -7.595416069030762}"
