comment_id,sentiment,sentiment_confidence,index,respect,respect_confidence,insult,insult_confidence,humiliate,humiliate_confidence,status,status_confidence,dehumanize,dehumanize_confidence,violence,violence_confidence,genocide,genocide_confidence,attack_defend,attack_defend_confidence,hatespeech,hatespeech_confidence
616,,0.0,160,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
809,0.0,0.622812264847202,13,0.0,0.9932768038654326,4.0,0.8942099858279452,4.0,0.921900839057437,0.0,0.5338959562720855,4.0,0.7084543597492977,4.0,0.7118315418609772,,0.0,4.0,0.739683913371277,1.0,0.6174360609058416
1253,3.0,0.4874034900754848,8,3.0,0.650795436202513,1.0,0.4154705596013759,2.0,0.7507801132641557,2.0,0.8334240311955026,1.0,0.4194835020560602,0.0,0.8780859487937126,0.0,0.4037799103169988,3.0,0.5247750194471992,1.0,0.9294752491532512
1550,3.0,0.3038693075398045,108,0.0,0.6787883376073874,4.0,0.6999240292634554,3.0,0.4973184204030476,3.0,0.5297070450399487,3.0,0.6335138542208886,2.0,0.4657762605838078,1.0,0.4922138026196223,3.0,0.8155896573268799,1.0,0.8533885515891312
1645,,0.0,143,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
1787,,0.0,184,0.0,0.6663454233647588,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2009,,0.0,34,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,1.0,0.3156716877095953
2088,0.0,0.7228732649012894,136,0.0,0.9964503138517466,4.0,0.9816764668250518,4.0,0.9342255137267674,3.0,0.3828508351959792,3.0,0.4909198714856722,3.0,0.5072394838097812,3.0,0.5834856679841378,4.0,0.8761199954328136,2.0,0.5867446081282284
2173,,0.0,57,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2317,,0.0,186,0.0,0.9745376917215612,,0.0,,0.0,,0.0,,0.0,3.0,0.4234928462447527,0.0,0.9744473525139288,,0.0,0.0,0.4644894482980877
2747,3.0,0.6644125706200518,76,2.0,0.5924413354716034,2.0,0.5818750441293284,2.0,0.6295310398422516,3.0,0.5103967621526162,2.0,0.5317053660671927,0.0,0.8719351365303338,0.0,0.6648224002352644,3.0,0.8675049419574533,1.0,0.8181930763507047
2952,3.0,0.741086840667773,82,2.0,0.5051665461222176,2.0,0.7036028460515161,2.0,0.7543987871836048,2.0,0.7321802174011268,2.0,0.501818138909221,0.0,0.8644040247458117,0.0,0.6170677638006906,2.0,0.4490811588449055,1.0,0.9005297984968135
4145,,0.0,105,0.0,0.9779848117211132,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.5992665900788762
4458,2.0,0.5309906193719404,54,2.0,0.6700759464287377,2.0,0.6818566987133808,2.0,0.5992787346864918,2.0,0.5888434979985657,2.0,0.5845291885555254,1.0,0.4868329620422374,0.0,0.5479663821535029,3.0,0.6836006509170367,1.0,0.907080522062409
4587,0.0,0.7579198092672123,121,0.0,0.99515354584784,4.0,0.6318411862762375,,0.0,,0.0,4.0,0.4258031266875017,3.0,0.6019184376775362,0.0,0.369808913054073,,0.0,2.0,0.5459690666613088
4762,1.0,0.4526709830756394,98,2.0,0.4250168499552648,2.0,0.6805683116794997,2.0,0.6658139600206738,2.0,0.6442575729376693,1.0,0.4118072009981136,0.0,0.9951574412335332,0.0,0.9905018846158832,3.0,0.7212815265252467,1.0,0.8181308262294499
5212,1.0,0.6486358788430107,101,1.0,0.5475478236919691,3.0,0.545299724376753,3.0,0.5086959086034755,1.0,0.4791199385021808,2.0,0.3783256737056106,0.0,0.9862972463109112,0.0,0.991831109965464,3.0,0.8767439429934909,1.0,0.8046396433174462
6032,,0.0,159,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
6214,3.0,0.3295501563047564,27,1.0,0.5969554265157346,3.0,0.5985960184867583,3.0,0.5296614871598146,3.0,0.3528126350216871,3.0,0.5989269622594844,0.0,0.3901094533972156,0.0,0.671521040810209,3.0,0.9050033350487992,1.0,0.781170497001677
6616,3.0,0.9070285321309818,73,3.0,0.930720896031235,1.0,0.4734066244719489,2.0,0.7142411140247779,2.0,0.9819751325042686,1.0,0.5511876316985028,0.0,0.9893340593710076,0.0,0.9854936860796296,1.0,0.5361330546621325,1.0,0.8402816384181541
6827,0.0,0.8548838940063863,150,0.0,0.9866005870575038,4.0,0.9246417513752182,4.0,0.9232499993252729,0.0,0.4770936633984742,4.0,0.8277394537338785,4.0,0.9667658553756466,4.0,0.674605343787917,4.0,0.7539092699071682,0.0,0.6783309012243217
6830,1.0,0.3923379737166629,188,0.0,0.9152129944657093,4.0,0.5256017177959049,3.0,0.3556134368064732,1.0,0.285368361232666,3.0,0.4649462103966991,3.0,0.4553901980739103,2.0,0.4037994051856776,4.0,0.5052191515071683,1.0,0.568240439739588
7479,,0.0,133,0.0,0.5271593148170104,,0.0,,0.0,,0.0,,0.0,2.0,0.5156002970082602,1.0,0.269819235533675,3.0,0.4961440990628017,1.0,0.6238713040793641
8041,,0.0,65,0.0,0.9950700864934235,4.0,0.7341701031988396,4.0,0.8383535149347817,1.0,0.3093855670008466,3.0,0.4800966089467454,3.0,0.4343313576405676,0.0,0.8146824130252288,4.0,0.4723675381754629,1.0,0.818375940610225
8369,0.0,0.8763701427593983,15,0.0,0.9920306265419516,4.0,0.6738309895431255,,0.0,,0.0,,0.0,4.0,0.6378722398845089,2.0,0.2714308622765574,4.0,0.6199877639222778,1.0,0.4858654075095675
8503,2.0,0.4247833440627599,80,2.0,0.6091114619170891,2.0,0.4805513318907891,2.0,0.5939021299260293,,0.0,,0.0,1.0,0.4859522078876994,1.0,0.5322201047683551,,0.0,1.0,0.9578348046256108
8603,,0.0,92,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
8717,1.0,0.384688038160932,196,1.0,0.6645436862257046,3.0,0.7986923216566688,3.0,0.7904100754474535,2.0,0.4082719875376719,3.0,0.6133993583995565,1.0,0.4719086327674591,1.0,0.5491747777971109,3.0,0.981823997006965,1.0,0.9549099551849558
8937,3.0,0.7628390805742233,23,2.0,0.6569725990765984,2.0,0.6294738574270606,2.0,0.7501667074819627,2.0,0.6757056714812308,2.0,0.5253109462839823,0.0,0.915009739759648,0.0,0.936245187242014,3.0,0.8733430984536219,1.0,0.9390941716482756
8994,3.0,0.9662384719851588,119,3.0,0.8194207826552699,1.0,0.5724702492278914,2.0,0.5195118066616279,2.0,0.9189619329790256,1.0,0.6459415689454157,0.0,0.9990108270710696,0.0,0.9889881060001908,1.0,0.523931539619763,1.0,0.909037095740217
9989,0.0,0.992114867672095,155,0.0,0.999270018689018,4.0,0.931504099584398,4.0,0.8078566367989207,0.0,0.4046588836955879,0.0,0.3472531072378978,2.0,0.4185809350611755,0.0,0.9772690732132796,4.0,0.9164346046405634,1.0,0.6781026017813184
10031,2.0,0.7784412956294078,89,2.0,0.7108472038012883,1.0,0.3299755383557649,2.0,0.4546123099076375,2.0,0.9027933810676004,0.0,0.52541227836269,0.0,0.9948948324934092,0.0,0.9783317788355588,2.0,0.3754882837891435,1.0,0.7815863892443323
10043,,0.0,192,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.6705115698202746,,0.0,,0.0
10476,2.0,0.8170997315964204,75,3.0,0.6178281088276744,1.0,0.4608216657483199,2.0,0.6735656015325264,2.0,0.9848078452996932,0.0,0.5266570986867367,0.0,0.9998784213083194,0.0,0.9856900808124888,1.0,0.6522573803579014,1.0,0.8249214507694507
11064,0.0,0.7021377388768352,17,0.0,0.7255858392345472,3.0,0.3324105753676685,4.0,0.6022467312004892,,0.0,,0.0,3.0,0.8206137071764001,,0.0,4.0,0.5949987147768289,1.0,0.7716686226912505
11248,3.0,0.7372070279657198,46,3.0,0.8912014157798636,2.0,0.4413232552921126,2.0,0.803445468567864,2.0,0.9393714816485166,1.0,0.5171906452823625,0.0,0.9987706771385808,0.0,0.8690920876474679,1.0,0.5145220199888296,1.0,0.8338642887147818
11466,,0.0,59,0.0,0.9400405591517488,,0.0,,0.0,,0.0,,0.0,3.0,0.5794810663183143,2.0,0.3543638315615341,3.0,0.7444578675948688,1.0,0.6035783175373922
12121,2.0,0.624390668686584,11,3.0,0.851107306583437,1.0,0.3943143982325869,2.0,0.6226714565487039,2.0,0.9835507536471656,1.0,0.5237565629111126,0.0,0.9998500572049204,0.0,0.9964588363292974,1.0,0.630849794526446,1.0,0.8149310115904659
12278,,0.0,176,0.0,0.6973306661386102,,0.0,4.0,0.5049551560295775,,0.0,,0.0,4.0,0.6275467693034555,,0.0,,0.0,0.0,0.2809633594458701
12852,2.0,0.6104113082562282,147,2.0,0.6425999329637573,2.0,0.6562737743011845,2.0,0.6570108973216444,2.0,0.7023173012097378,2.0,0.5495105610939203,0.0,0.9584338557204016,0.0,0.9501152053483216,3.0,0.5112801597660399,1.0,0.7608144114659492
13076,2.0,0.4729328685914596,1,1.0,0.6523070483438431,3.0,0.4927978328959256,2.0,0.4533659875690365,2.0,0.4798973113531299,2.0,0.5200516886015106,0.0,0.5086547348421957,0.0,0.7717037406988879,3.0,0.8106485243113356,1.0,0.806902226322724
13252,0.0,0.8582553925874257,151,0.0,0.939023842480324,3.0,0.5361074585009195,3.0,0.3725284613444058,0.0,0.5252870878648654,3.0,0.662903211057853,2.0,0.5061072830179412,1.0,0.5654984096202393,4.0,0.6646140767285914,1.0,0.684178568276095
13674,,0.0,69,0.0,0.903413190068426,3.0,0.5384176188889791,4.0,0.6904565614738181,,0.0,3.0,0.6800483652685182,2.0,0.5154683806697831,2.0,0.4227824725739535,3.0,0.6571270196542678,1.0,0.8390599851316641
13734,,0.0,197,0.0,0.4186347044023035,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
13756,,0.0,41,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.3893481716337456,,0.0,1.0,0.7119906876110647
14213,,0.0,193,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
15026,0.0,0.9985181628021628,77,0.0,0.9996857439396456,4.0,0.9867547084279502,4.0,0.9916451559183576,0.0,0.8004194552763146,4.0,0.8244315151071332,3.0,0.6675810800638062,0.0,0.8231620415697335,4.0,0.9667436884990736,1.0,0.5868963393332662
