comment_id,index,label_logprobs
47777,0,"{'3': -0.609086275100708, '2': -0.827836275100708, '1': -4.702836036682129, '4': -5.468461036682129, '0': -8.499711036682129}"
39773,1,"{'2': -0.40202030539512634, '3': -1.5113953351974487, '1': -4.386395454406738, '4': -5.027020454406738, '0': -6.808270454406738}"
47101,2,"{'3': -0.4913698434829712, '2': -1.7101198434829712, '4': -4.100744724273682, '1': -4.725744724273682, '0': -7.710119724273682}"
43625,3,"{'2': -0.5602864027023315, '3': -2.216536521911621, '1': -3.607161521911621, '4': -6.466536521911621, '0': -6.622786521911621}"
12538,4,"{'2': -3.8470170497894287, '1': -5.73764181137085, '3': -6.75326681137085, '4': -6.81576681137085, '0': -7.76889181137085}"
11001,5,"{'2': -2.760927677154541, '3': -4.604677677154541, '1': -4.682802677154541, '4': -6.745302677154541, '0': -8.1359281539917}"
13168,6,"{'2': -5.716724872589111, '1': -6.185474872589111, '4': -8.59172534942627, '3': -8.60735034942627, '0': -9.84172534942627}"
17034,7,"{'2': -1.3990998268127441, '3': -2.336599826812744, '1': -2.539724826812744, '0': -2.961599826812744, '4': -3.492849826812744}"
40171,8,"{'3': -0.4207508862018585, '2': -1.3270008563995361, '1': -3.373875856399536, '4': -3.373875856399536, '0': -6.670751094818115}"
1006,9,"{'2': -2.9160165786743164, '1': -4.306641578674316, '3': -4.837891578674316, '0': -5.166016578674316, '4': -5.353516578674316}"
23643,10,"{'3': -0.09063168615102768, '4': -2.9031317234039307, '2': -3.8875067234039307, '1': -7.153131484985352}"
14241,11,"{'3': -0.5666961669921875, '2': -1.1604461669921875, '1': -2.8948211669921875, '4': -3.7385711669921875, '0': -5.1135711669921875}"
20583,12,"{'2': -0.5592686533927917, '3': -0.8717686533927917, '1': -5.137393474578857, '4': -6.012393474578857, '0': -8.903018951416016}"
30879,13,"{'2': -1.7727587223052979, '3': -1.9133837223052979, '1': -4.179008960723877, '4': -5.491508960723877, '0': -6.413383960723877}"
29527,14,"{'2': -3.241307258605957, '3': -4.444432258605957, '1': -5.178807258605957, '4': -6.288182258605957, '0': -7.553807258605957}"
23016,15,"{'2': -3.2838480472564697, '1': -4.674473285675049, '3': -4.940098285675049, '4': -6.424473285675049, '0': -7.283848285675049}"
22819,16,"{'3': -1.183780550956726, '2': -1.246280550956726, '1': -3.1837806701660156, '4': -3.5275306701660156, '0': -4.965030670166016}"
36534,17,"{'3': -1.2013169527053833, '2': -1.6388169527053833, '4': -3.3106918334960938, '1': -4.013816833496094, '0': -5.420066833496094}"
7287,18,"{'2': -2.4856905937194824, '3': -3.3763155937194824, '1': -4.141940593719482, '4': -4.751315593719482, '0': -5.735690593719482}"
32074,19,"{'3': -0.332423597574234, '2': -1.4417985677719116, '4': -3.754298686981201, '1': -4.348048686981201, '0': -6.723048686981201}"
46526,20,"{'2': -0.62660151720047, '3': -1.1578514575958252, '1': -2.720351457595825, '4': -4.267226696014404, '0': -5.782851696014404}"
30683,21,"{'3': -1.0800819396972656, '2': -1.1269569396972656, '1': -3.2675819396972656, '4': -3.9707069396972656, '0': -5.423831939697266}"
15758,22,"{'2': -0.5627883076667786, '1': -1.6252882480621338, '3': -1.7502882480621338, '4': -4.656538486480713, '0': -4.734663486480713}"
14868,23,"{'3': -0.399911493062973, '2': -1.1811615228652954, '4': -4.649911403656006, '1': -4.665536403656006, '0': -8.446786880493164}"
11817,24,"{'2': -2.3531811237335205, '3': -3.6500561237335205, '1': -4.103180885314941, '4': -6.243805885314941, '0': -7.181305885314941}"
4373,25,"{'3': -0.8769119381904602, '2': -1.0644118785858154, '1': -4.2519121170043945, '4': -4.8456621170043945, '0': -7.1112871170043945}"
1323,26,"{'3': -0.09249996393918991, '2': -2.5612499713897705, '4': -4.733124732971191, '1': -6.951874732971191, '0': -11.772187232971191}"
38126,27,"{'2': -3.0534422397613525, '1': -4.490942478179932, '3': -4.694067478179932, '4': -7.053442478179932, '0': -7.967504978179932}"
26362,28,"{'3': -0.6172612309455872, '2': -0.8828862309455872, '1': -3.6016361713409424, '4': -5.3047614097595215, '0': -7.2578864097595215}"
5410,29,"{'3': -1.1808416843414307, '2': -1.3370916843414307, '1': -3.2589666843414307, '4': -4.102716445922852, '0': -5.540216445922852}"
39276,30,"{'2': -3.1757354736328125, '1': -3.9882354736328125, '3': -4.9726104736328125, '0': -5.6757354736328125, '4': -6.0194854736328125}"
32811,31,"{'2': -1.224476933479309, '3': -2.6463518142700195, '1': -3.7401018142700195, '4': -5.5213518142700195, '0': -5.9588518142700195}"
33729,32,"{'2': -1.5268146991729736, '3': -1.7299396991729736, '1': -2.9955646991729736, '4': -3.7455646991729736, '0': -4.558064937591553}"
47480,33,"{'2': -0.6697689890861511, '3': -1.544769048690796, '1': -3.372894048690796, '4': -5.560393810272217, '0': -5.747893810272217}"
10694,34,"{'3': -0.09166725724935532, '2': -2.9666671752929688, '4': -3.4666671752929688, '1': -6.247917175292969, '0': -10.365104675292969}"
1031,35,"{'2': -4.006565570831299, '1': -5.037815570831299, '3': -6.053440570831299, '4': -6.100315570831299, '0': -7.545628070831299}"
48834,36,"{'3': -0.4001750349998474, '2': -1.2595500946044922, '4': -3.790800094604492, '1': -3.993925094604492, '0': -8.165800094604492}"
43341,37,"{'2': -4.226052284240723, '1': -5.726052284240723, '3': -7.991677284240723, '4': -8.030739784240723, '0': -8.819802284240723}"
47870,38,"{'2': -0.8341087698936462, '3': -1.599733829498291, '1': -2.818483829498291, '4': -4.912233829498291, '0': -5.912233829498291}"
49895,39,"{'2': -0.40942928194999695, '3': -1.1750543117523193, '4': -4.11255407333374, '1': -4.89380407333374, '0': -6.65942907333374}"
37291,40,"{'2': -2.1483447551727295, '3': -2.4608447551727295, '1': -4.08584451675415, '4': -4.27334451675415, '0': -6.61709451675415}"
11121,41,"{'2': -3.101048469543457, '3': -3.897923469543457, '1': -4.960423469543457, '4': -6.694798469543457, '0': -8.710423469543457}"
38307,42,"{'2': -0.9300089478492737, '3': -2.476883888244629, '1': -3.180008888244629, '0': -4.633133888244629, '4': -5.305008888244629}"
19352,43,"{'3': -0.23217551410198212, '2': -2.263425588607788, '4': -4.169675350189209, '1': -5.341550350189209, '0': -8.966550827026367}"
24301,44,"{'3': -0.6413110494613647, '2': -1.1569360494613647, '1': -4.047561168670654, '4': -4.406936168670654, '0': -6.453811168670654}"
23452,45,"{'3': -1.3904788494110107, '2': -2.3436038494110107, '4': -4.640478610992432, '1': -4.702978610992432, '0': -7.249853610992432}"
